datetime,1INCH,AAVE,ADA,AERO,AKT,ALGO,APE,APT,ARB,AR,ATOM,AVAX,AXL,AXS,BCH,BNB,BRETT,BSV,BTC,CAKE,CFX,CHZ,COMP,CRV,DOGE,DOT,DRIFT,DYDX,EGLD,EIGEN,ENA,ENS,ETC,ETHFI,ETH,FARTCOIN,FET,FIL,FLOW,GALA,GRT,HBAR,ICP,IMX,INJ,IOTA,JASMY,JTO,JUP,KAIA,KAS,KAVA,LDO,LINK,LTC,MANA,MORPHO,MOVE,NEAR,NEO,ONDO,OP,PENDLE,PENGU,POL,POPCAT,PYTH,QNT,RENDER,RUNE,SAND,SEI,SOL,SPX,STRK,STX,SUI,SUN,SUPER,TAO,THETA,TIA,TON,TRX,TURBO,TWT,UNI,VET,VIRTUAL,WIF,WLD,W,XLM,XMR,XRP,XTZ,ZEC,ZK,date
2020-02-27,,,338999152.0,,,,,,,,4018400.46,,,,432744.158,1684886.46,,,200638.488,,,,,,,,,,,,,,7759806.4,,2374539.334,,,,,,,,,,,8524737.3,,,,,,,,28829556.63,1630138.399,,,,,243148.19,,,,,,,,,,,,,,,,,,,,,,,,1443789979.0,,,,370484703.0,,,,,120824130.0,126596.031,314574391.9,20257266.0,200530.652,,2020-02-27
2020-02-28,,,313933720.0,,,,,,,,3971987.03,,,,429787.17,1718113.47,,,196066.11,,,,,,,,,,,,,,7742804.58,,2026863.186,,,,,,,,,,,4818995.3,,,,,,,,29404884.64,1676427.006,,,,,205460.95,,,,,,,,,,,,,,,,,,,,,,,,1336700976.0,,,,245865972.0,,,,,92888163.0,123015.994,263044384.5,13284215.3,155193.102,,2020-02-28
2020-02-29,,,255284363.0,,,,,,,,1945540.88,,,,250679.229,1734548.17,,,103524.685,,,,,,,,,,,,,,5244262.88,,1309444.25,,,,,,,,,,,4515851.5,,,,,,,,24864103.87,966106.269,,,,,189512.5,,,,,,,,,,,,,,,,,,,,,,,,1056280601.0,,,,232126380.0,,,,,56683381.0,105065.482,178973905.3,11771894.9,131075.268,,2020-02-29
2020-03-01,,,319589360.0,,,,,,,,3230745.38,,,,378310.586,2131016.51,,,174332.916,,,,,,,,,,,,,,7964946.3,,1775078.523,,,,,,,,,,,3799723.6,,,,,,,,27557121.23,1010214.686,,,,,359356.87,,,,,,,,,,,,,,,,,,,,,,,,1007721432.0,,,,314611479.0,,,,,55416628.0,123952.573,201275931.2,12509080.6,147671.281,,2020-03-01
2020-03-02,,,318808647.0,,,,,,,,2769487.79,,,,368554.643,1782168.95,,,160294.484,,,,,,,,,,,,,,8471419.74,,1604040.396,,,,,,,,,,,4608701.6,,,,,,,,25221263.83,943139.957,,,,,348018.44,,,,,,,,,,,,,,,,,,,,,,,,1065371308.0,,,,336034960.0,,,,,49852067.0,,191063851.5,13510231.9,110757.843,,2020-03-02
2020-03-03,,,304649550.0,,,,,,,,2749977.07,,,,362667.561,1607025.05,,,160123.605,,,,,,,,,,,,,,7880786.59,,1544830.651,,,,,,,,,,,3925245.3,,,,,,,,31643156.84,909566.311,,,,,248482.52,,,,,,,,,,,,,,,,,,,,,,,,1061135082.0,,,,274892124.0,,,,,52823814.0,,170532703.6,13269974.3,94094.612,,2020-03-03
2020-03-04,,,255736293.0,,,,,,,,3508114.08,,,,236867.475,1399024.21,,,105462.12,,,,,,,,,,,,,,8000022.31,,1027175.512,,,,,,,,,,,3214156.6,,,,,,,,41814186.91,662911.146,,,,,259272.4,,,,,,,,,,,,,,,,,,,,,,,,1026258007.0,,,,363791076.0,,,,,37041469.0,,154653888.3,16733976.8,69117.992,,2020-03-04
2020-03-05,,,359660890.0,,,,,,,,3435726.94,,,,352830.629,1955491.71,,,161840.623,,,,,,,,,,,,,,7923438.54,,1142530.928,,,,,,,,,,,6797011.1,,,,,,,,27195074.19,768020.447,,,,,233707.02,,,,,,,,,,,,,,,,,,,,,,,,1182662320.0,,,,366060618.0,,,,,71459898.0,,171513665.5,25379607.3,121733.293,,2020-03-05
2020-03-06,,,280916982.0,,,,,,,,2189424.78,,,,346589.385,1659669.26,,,115011.583,,,,,,,,,,,,,,6321627.48,,1307956.34,,,,,,,,,,,3414170.3,,,,,,,,22760436.87,783058.83,,,,,179001.61,,,,,,,,,,,,,,,,,,,,,,,,885591217.0,,,,289371283.0,,,,,51558146.0,,167156747.1,17182484.2,94310.247,,2020-03-06
2020-03-07,,,308561489.0,,,,,,,,1450764.74,,,,309081.1,1393981.18,,,125804.999,,,,,,,,,,,,,,6277619.31,,1637057.953,,,,,,,,,,,5423214.1,,,,,,,,23882647.15,813703.963,,,,,210448.71,,,,,,,,,,,,,,,,,,,,,,,,911824731.0,,,,327754485.0,,,,,73081200.0,115506.528,142908680.1,17954995.2,70776.323,,2020-03-07
