datetime,1INCH,AAVE,ADA,AERO,AKT,ALGO,APE,APT,ARB,AR,ATOM,AVAX,AXL,AXS,BCH,BNB,BRETT,BSV,BTC,CAKE,CFX,CHZ,COMP,CRV,DOGE,DOT,DRIFT,DYDX,EGLD,EIGEN,ENA,ENS,ETC,ETHFI,ETH,FARTCOIN,FET,FIL,FLOW,GALA,GRT,HBAR,ICP,IMX,INJ,IOTA,JASMY,JTO,JUP,KAIA,KAS,KAVA,LDO,LINK,LTC,MANA,MORPHO,MOVE,NEAR,NEO,ONDO,OP,PENDLE,PENGU,POL,POPCAT,PYTH,QNT,RENDER,RUNE,SAND,SEI,SOL,SPX,STRK,STX,SUI,SUN,SUPER,TAO,THETA,TIA,TON,TRX,TURBO,TWT,UNI,VET,VIRTUAL,WIF,WLD,W,XLM,XMR,XRP,XTZ,ZEC,ZK,date
2020-02-21,,,18969464.25687,,,,,,,,21509433.158699997,,,,130826766.14054999,21608676.73833,,,958015054.3003199,,,,,,,,,,,,,,75904186.89600001,,261538375.7448,,,,,,,,,,,1857761.6841,,,,,,,,61726907.243250005,84087156.08279999,,,,,2858077.9905600003,,,,,,,,,,,,,,,,,,,,,,,,27531207.35791,,,,2326147.0083600003,,,,,2957200.86353,8292421.052300001,66552963.541200005,40755271.872700006,6941501.346910001,,2020-02-21
2020-02-22,,,16051243.1002,,,,,,,,20557690.18446,,,,89855012.74014,16200362.13936,,,564286088.3824,,,,,,,,,,,,,,54312372.596540004,,197146840.75493997,,,,,,,,,,,1698212.34996,,,,,,,,54973756.724800006,86281765.30872001,,,,,2551352.85978,,,,,,,,,,,,,,,,,,,,,,,,19554508.711319998,,,,1358364.98771,,,,,2196675.5138999997,9135301.56747,45611249.65759999,36322161.537,3794089.3879,,2020-02-22
2020-02-23,,,21297181.37283,,,,,,,,14472548.395359999,,,,115864688.26836002,23033807.40684,,,965818577.71696,,,,,,,,,,,,,,63753201.781849995,,258418319.94660002,,,,,,,,,,,1701526.6356500003,,,,,,,,53134152.17868,104347824.35937999,,,,,2695412.4271000004,,,,,,,,,,,,,,,,,,,,,,,,19074965.24368,,,,1725182.744076,,,,,3938137.00848,11996461.93536,61042941.92307999,31610487.3934,6824621.041,,2020-02-23
2020-02-24,,,22878816.725819997,,,,,,,,21504243.20499,,,,172169516.60981,28080919.366499998,,,1526414380.5894501,,,,,,,,,,,,,,73308038.8248,,394103516.6111,,,,,,,,,,,2122068.8973,,,,,,,,69253515.29054001,141546394.65852,,,,,3647354.8304600003,,,,,,,,,,,,,,,,,,,,,,,,24169323.46392,,,,4748998.927211001,,,,,4571024.86869,14268635.672199998,76567770.8433,48815504.5824,9395565.364079999,,2020-02-24
2020-02-25,,,20415492.18656,,,,,,,,12538220.32515,,,,157432659.27036,29379445.4412,,,1572752727.3500001,,,,,,,,,,,,,,68039922.11121,,386330626.32870996,,,,,,,,,,,1887657.87246,,,,,,,,76019806.57491001,116322191.84898001,,,,,2942321.6057999996,,,,,,,,,,,,,,,,,,,,,,,,23490487.3723,,,,3065068.888658,,,,,5596302.81272,11735018.6748,70358186.48632,51213197.829500005,6917827.56063,,2020-02-25
2020-02-26,,,28365346.229220003,,,,,,,,13918418.8893,,,,309706007.09022003,42965159.62779,,,2347568213.36184,,,,,,,,,,,,,,100366613.96463,,611634292.8282,,,,,,,,,,,2929403.1162900003,,,,,,,,120330804.77748,135600799.05108,,,,,3428179.04,,,,,,,,,,,,,,,,,,,,,,,,38913351.63736,,,,3095978.359892,,,,,8777814.06426,10582036.84209,116443781.15567999,85690014.718,11824081.76348,,2020-02-26
2020-02-27,,,16912667.69328,,,,,,,,14856026.50062,,,,140533665.3105,32272315.254839998,,,1771236572.0640001,,,,,,,,,,,,,,59905705.408,,541205005.0052799,,,,,,,,,,,1832818.5195000002,,,,,,,,114049726.02827999,100709950.29022,,,,,2795717.88862,,,,,,,,,,,,,,,,,,,,,,,,24558867.54279,,,,2145476.915073,,,,,7306235.141100001,8884509.455580002,75120364.78571999,56821631.13,10624113.94296,,2020-02-27
2020-02-28,,,15351358.908,,,,,,,,14068778.060259998,,,,135456022.3689,32645874.043470003,,,1705690848.5726998,,,,,,,,,,,,,,57784550.58054,,460280360.90874,,,,,,,,,,,1038493.48715,,,,,,,,122353724.98703998,100501799.00970002,,,,,2322941.5006999997,,,,,,,,,,,,,,,,,,,,,,,,22897687.718879998,,,,1415204.534832,,,,,5428384.24572,8394611.43056,62288910.2496,37036392.2564,7882257.65058,,2020-02-28
2020-02-29,,,12023893.4973,,,,,,,,6710170.495119999,,,,76788061.42728,33402194.10969,,,883270541.9262999,,,,,,,,,,,,,,38582042.00816,,284555329.96750003,,,,,,,,,,,960521.61405,,,,,,,,100997989.91994001,56150096.354279995,,,,,2105673.3875,,,,,,,,,,,,,,,,,,,,,,,,17407504.30448,,,,1304782.38198,,,,,3232653.21843,6936423.12164,41002921.70423,32207904.4464,6420066.62664,,2020-02-29
2020-03-01,,,14582862.4968,,,,,,,,10816535.53224,,,,118119914.26678,40276212.03899999,,,1488426543.54144,,,,,,,,,,,,,,61656649.308299996,,386984868.79923,,,,,,,,,,,798321.92836,,,,,,,,106315373.70534,58370204.55708,,,,,4071153.9802300003,,,,,,,,,,,,,,,,,,,,,,,,16566940.342079999,,,,1707081.8850540002,,,,,3098343.67148,7989982.855579999,45770146.754879996,32748773.010799997,7247706.471479999,,2020-03-01
2020-03-02,,,15726830.55651,,,,,,,,10274799.7009,,,,125139043.48422,35465162.105,,,1429778708.9348001,,,,,,,,,,,,,,71617382.48196001,,372490260.75912,,,,,,,,,,,1034192.6390399998,,,,,,,,106988601.16686,58021970.154640004,,,,,4214155.28996,,,,,,,,,,,,,,,,,,,,,,,,18750535.020800002,,,,1961436.06152,,,,,2981153.6066,,45836217.97485,37869180.0157,5802603.39477,,2020-03-02
2020-03-03,,,14833386.589499999,,,,,,,,9963166.92461,,,,119553361.48364998,31634288.109249998,,,1403483397.825,,,,,,,,,,,,,,66829070.2832,,346196548.8891,,,,,,,,,,,878862.4226699999,,,,,,,,145273733.05244002,55565405.938990004,,,,,2875191.23892,,,,,,,,,,,,,,,,,,,,,,,,18293968.813679997,,,,1588326.6924720001,,,,,3074345.9748,,39972865.72384,36664938.9909,4783770.07408,,2020-03-03
